symbol,option_type,entry_time,exit_time,entry_price,exit_price,bars_held,lots,gross,charges,pnl,exit_reason,test_day,entry_threshold
BANKNIFTY21JAN2132000CE,CE,2021-01-19 09:22:00,2021-01-19 09:52:00,343.85749999999996,331.0702439117432,30,1,-255.74512176513508,59.52476822181167,-315.26988998694674,time,2021-01-19,0.65
BANKNIFTY21JAN2132000CE,CE,2021-01-19 13:47:00,2021-01-19 14:17:00,433.7316188812256,417.6033689117432,30,1,-322.56499938964794,62.746125444394465,-385.3111248340424,time,2021-01-19,0.65
BANKNIFTY25FEB2136300CE,CE,2021-02-19 14:09:00,2021-02-19 14:19:00,283.8077561187744,316.40701217651366,10,3,1955.9553634643544,80.86621492088156,1875.089148543473,signal,2021-02-19,0.65
BANKNIFTY25FEB2136300PE,PE,2021-02-19 12:45:00,2021-02-19 12:55:00,426.31312499999996,496.505625,10,2,2807.700000000002,81.94629592000001,2725.753704080002,signal,2021-02-19,0.65
BANKNIFTY04MAR2135300PE,PE,2021-03-01 09:42:00,2021-03-01 09:43:00,576.7382377624511,567.0288871765136,1,1,-194.18701171875,68.15734901079225,-262.34436072954225,signal,2021-03-01,0.65
BANKNIFTY04MAR2135300PE,PE,2021-03-01 09:45:00,2021-03-01 09:46:00,537.6908505249023,536.655,1,1,-20.717010498046875,66.93343760858119,-87.65044810662806,signal,2021-03-01,0.65
BANKNIFTY04MAR2135300PE,PE,2021-03-01 09:52:00,2021-03-01 09:53:00,539.0442622375488,545.1836128234863,1,1,122.78701171875127,67.15769842120775,55.62931329754352,signal,2021-03-01,0.65
BANKNIFTY04MAR2135300PE,PE,2021-03-01 09:54:00,2021-03-01 09:56:00,527.7160244750976,549.12375,2,1,428.1545104980478,67.11279924716882,361.04171125087896,signal,2021-03-01,0.65
BANKNIFTY25MAR2133200PE,PE,2021-03-25 10:04:00,2021-03-25 10:20:00,320.3990061187744,396.30153066831207,16,2,3036.100981981506,74.43997800756193,2961.661003973944,target,2021-03-25,0.8
BANKNIFTY25MAR2133200PE,PE,2021-03-25 10:23:00,2021-03-25 10:53:00,396.739375,391.6683689117432,30,2,-202.84024353027235,76.11143207462337,-278.95167560489574,time,2021-03-25,0.8
BANKNIFTY25MAR2133200PE,PE,2021-03-25 13:00:00,2021-03-25 13:29:00,666.7126127624512,465.5320818613815,29,1,-4023.610618021393,66.80638696227908,-4090.417004983672,stop,2021-03-25,0.8
BANKNIFTY25MAR2133200PE,PE,2021-03-25 13:40:00,2021-03-25 13:43:00,225.6126280593872,157.5340175424671,3,2,-2723.1444206768037,60.469430950109114,-2783.613851626913,stop,2021-03-25,0.8
BANKNIFTY01APR2133500CE,CE,2021-03-26 14:22:00,2021-03-26 14:31:00,550.7233505249023,555.9566006469727,9,1,104.66500244140661,67.56483258907788,37.10016985232873,signal,2021-03-26,0.65
BANKNIFTY01APR2133500CE,CE,2021-03-26 14:53:00,2021-03-26 14:55:00,513.8814755249023,491.9171189117432,2,1,-439.2871322631811,65.54945313289285,-504.83658539607393,signal,2021-03-26,0.65
BANKNIFTY01APR2133500PE,PE,2021-03-26 09:21:00,2021-03-26 09:31:00,698.6422744750976,621.8415243530274,10,1,-1536.0150024414042,71.00507666292211,-1607.0200791043264,signal,2021-03-26,0.65
BANKNIFTY01APR2133500PE,PE,2021-03-26 10:03:00,2021-03-26 10:04:00,657.0385244750976,672.6641006469727,1,1,312.51152343750164,71.72439633116554,240.7871271063361,signal,2021-03-26,0.65
BANKNIFTY01APR2133500PE,PE,2021-03-26 10:15:00,2021-03-26 10:17:00,607.8157377624511,634.4100000000001,2,1,531.8852447509789,70.18239467566559,461.70285007531334,signal,2021-03-26,0.65
BANKNIFTY01APR2133500PE,PE,2021-03-26 11:05:00,2021-03-26 11:12:00,642.2014755249023,649.2727743530273,7,1,141.42597656250018,70.97110550558446,70.45487105691572,signal,2021-03-26,0.65
BANKNIFTY08APR2132400PE,PE,2021-04-07 09:43:00,2021-04-07 09:51:00,285.4117622375488,290.4720121765137,8,1,101.20499877929774,57.81116660471106,43.39383217458668,signal,2021-04-07,0.65
BANKNIFTY08APR2132400PE,PE,2021-04-07 10:38:00,2021-04-07 10:59:00,251.87812499999998,175.87390078125,21,1,-1520.0844843749996,54.60711948679281,-1574.6916038617924,stop,2021-04-07,0.65
BANKNIFTY08APR2132400PE,PE,2021-04-07 11:00:00,2021-04-07 11:11:00,168.4701280593872,164.18850608825684,11,1,-85.63243942260726,53.28666102964692,-138.91910045225418,signal,2021-04-07,0.65
BANKNIFTY08APR2132400PE,PE,2021-04-07 12:05:00,2021-04-07 12:11:00,119.1972515296936,119.74987804412842,6,1,11.052530288696403,51.59360710769846,-40.54107681900206,signal,2021-04-07,0.65
BANKNIFTY15APR2131000CE,CE,2021-04-13 11:40:00,2021-04-13 11:44:00,356.4890061187744,377.7033689117432,4,1,424.2872558593763,60.81598248047889,363.47127337889737,signal,2021-04-13,0.7
BANKNIFTY22APR2131500CE,CE,2021-04-20 12:21:00,2021-04-20 12:51:00,262.0033811187744,241.44487804412844,30,1,-411.1700614929197,56.327833841261366,-467.49789533418107,time,2021-04-20,0.7
BANKNIFTY22APR2131500CE,CE,2021-04-20 13:23:00,2021-04-20 13:53:00,286.51448776245115,227.43,30,1,-1181.689755249023,56.29145773816558,-1237.9812129871884,time,2021-04-20,0.7
BANKNIFTY22APR2131500CE,CE,2021-04-20 13:54:00,2021-04-20 14:23:00,225.5625,157.499015625,29,1,-1361.2696875000001,53.83324133145624,-1415.1029288314564,stop,2021-04-20,0.7
BANKNIFTY29APR2131500CE,CE,2021-04-23 14:22:00,2021-04-23 14:23:00,671.2238627624512,690.0704878234864,1,1,376.93250122070367,72.32401529903893,304.60848592166474,signal,2021-04-23,0.65
BANKNIFTY27MAY2133700PE,PE,2021-05-21 13:29:00,2021-05-21 13:48:00,261.8530122375488,294.6614939117432,19,3,1968.5089004516647,78.46115618843828,1890.0477442632264,signal,2021-05-21,0.65
BANKNIFTY10JUN2135300CE,CE,2021-06-08 12:09:00,2021-06-08 12:10:00,157.0416188812256,157.45538108825684,1,1,8.275244140625091,52.98090396377112,-44.70565982314603,signal,2021-06-08,0.7
BANKNIFTY10JUN2135300PE,PE,2021-06-08 10:37:00,2021-06-08 10:39:00,366.06286888122554,395.20951217651367,2,1,582.9328659057626,61.36073674820945,521.5721291575531,signal,2021-06-08,0.7
BANKNIFTY17JUN2134800CE,CE,2021-06-14 09:31:00,2021-06-14 09:32:00,235.98849388122557,245.634375,1,2,385.8352447509776,65.01307787266558,320.82216687831203,signal,2021-06-14,0.65
BANKNIFTY17JUN2134800CE,CE,2021-06-14 13:16:00,2021-06-14 13:19:00,239.74786888122557,239.20050304412842,3,1,-10.947316741942927,55.99674897967695,-66.94406572161988,signal,2021-06-14,0.65
BANKNIFTY17JUN2134800PE,PE,2021-06-14 14:09:00,2021-06-14 14:14:00,228.06875,238.3526219558716,5,2,411.35487823486415,64.46205751581168,346.89282071905245,signal,2021-06-14,0.65
BANKNIFTY17JUN2134800PE,PE,2021-06-14 14:28:00,2021-06-14 14:34:00,224.56,225.8838719558716,6,3,79.43231735229574,72.0524576917175,7.379859660578234,signal,2021-06-14,0.65
BANKNIFTY17JUN2134800PE,PE,2021-06-14 14:39:00,2021-06-14 14:50:00,210.775625,186.781875,11,2,-959.7499999999991,61.523599339,-1021.2735993389991,signal,2021-06-14,0.65
BANKNIFTY17JUN2134800PE,PE,2021-06-14 14:55:00,2021-06-14 14:59:00,169.82349388122557,172.7669969558716,4,2,117.74012298584125,59.82426897147726,57.915854014363994,signal,2021-06-14,0.65
BANKNIFTY08JUL2134800PE,PE,2021-07-02 10:39:00,2021-07-02 10:44:00,295.4367622375488,320.0478810882569,5,1,492.22237701416134,58.65510479977274,433.5672722143886,signal,2021-07-02,0.65
BANKNIFTY08JUL2135700CE,CE,2021-07-08 10:52:00,2021-07-08 11:01:00,106.11462347030638,112.36837652206421,9,1,125.07506103515652,51.25152907931778,73.82353195583875,signal,2021-07-08,0.7
BANKNIFTY08JUL2135700CE,CE,2021-07-08 11:45:00,2021-07-08 11:52:00,75.1373719406128,82.7925,7,3,459.30768356323256,56.04186492112419,403.26581864210834,signal,2021-07-08,0.7
BANKNIFTY08JUL2135700CE,CE,2021-07-08 11:55:00,2021-07-08 12:06:00,59.899375,41.82473859375,11,3,-1084.478184375,52.484482260726814,-1136.9626666357267,stop,2021-07-08,0.7
BANKNIFTY08JUL2135700CE,CE,2021-07-08 12:07:00,2021-07-08 12:35:00,43.257876529693604,30.20481228685856,28,1,-261.0612848567009,48.47210832699493,-309.53339318369586,stop,2021-07-08,0.7
BANKNIFTY08JUL2135700PE,PE,2021-07-08 10:47:00,2021-07-08 10:52:00,78.9970030593872,84.73762195587159,5,1,114.81237792968784,50.24255118861444,64.5698267410734,signal,2021-07-08,0.7
BANKNIFTY08JUL2135700PE,PE,2021-07-08 14:12:00,2021-07-08 14:32:00,403.005,498.47688450000004,20,1,1909.4376900000009,64.3315252658242,1845.1061647341767,target,2021-07-08,0.7
BANKNIFTY08JUL2135700PE,PE,2021-07-08 14:45:00,2021-07-08 14:55:00,486.76386276245114,505.53298782348634,10,2,750.7650024414079,83.88748341607787,666.87751902533,signal,2021-07-08,0.7
BANKNIFTY15JUL2135000CE,CE,2021-07-09 09:44:00,2021-07-09 10:00:00,344.0078688812256,346.38187500000004,16,2,94.96024475097784,72.5981406691656,22.362104081812234,signal,2021-07-09,0.75
BANKNIFTY15JUL2135000CE,CE,2021-07-09 12:00:00,2021-07-09 12:11:00,392.62911888122557,394.06236282348635,11,2,57.32975769043151,76.1257648194123,-18.79600712898079,signal,2021-07-09,0.75
BANKNIFTY15JUL2135300CE,CE,2021-07-12 13:10:00,2021-07-12 13:15:00,254.03349388122558,177.37888710256576,5,2,-3066.1842711463933,62.141007225821525,-3128.3252783722146,stop,2021-07-12,0.65
BANKNIFTY15JUL2135700CE,CE,2021-07-15 14:57:00,2021-07-15 15:00:00,132.6808811187744,164.11298185581205,3,1,628.6420147407529,52.840192720135235,575.8018220206177,target,2021-07-15,0.65
BANKNIFTY15JUL2135700PE,PE,2021-07-15 11:59:00,2021-07-15 12:13:00,31.879499235153197,31.122000761032105,14,1,-15.149969482421852,48.35305724440889,-63.50302672683074,signal,2021-07-15,0.65
BANKNIFTY22JUL2135900CE,CE,2021-07-16 09:34:00,2021-07-16 10:04:00,275.436875,237.00600608825684,30,2,-1537.2347564697259,65.57351369987664,-1602.8082701696026,time,2021-07-16,0.65
BANKNIFTY22JUL2135900CE,CE,2021-07-16 10:12:00,2021-07-16 10:42:00,240.04862194061278,256.3575,30,2,652.3551223754896,65.6356106930828,586.7195116824068,time,2021-07-16,0.65
BANKNIFTY22JUL2135900CE,CE,2021-07-16 11:15:00,2021-07-16 11:45:00,257.2916188812256,242.44237804412842,30,2,-593.9696334838868,65.38711916585392,-659.3567526497408,time,2021-07-16,0.65
BANKNIFTY22JUL2135900CE,CE,2021-07-16 11:48:00,2021-07-16 12:18:00,241.55237194061277,219.30038108825684,30,2,-890.0796340942372,63.870249594959446,-953.9498836891967,time,2021-07-16,0.65
BANKNIFTY29JUL2134700CE,CE,2021-07-23 09:30:00,2021-07-23 09:33:00,312.6797438812256,247.629375,3,1,-1301.0073776245117,57.107845931832806,-1358.1152235563445,signal,2021-07-23,0.65
BANKNIFTY29JUL2134700CE,CE,2021-07-23 09:34:00,2021-07-23 09:37:00,253.28161888122557,269.82375,3,2,661.685244750978,66.61950897166558,595.0657357793124,signal,2021-07-23,0.65
BANKNIFTY29JUL2134700CE,CE,2021-07-23 09:45:00,2021-07-23 09:46:00,218.294375,237.3551219558716,1,2,762.4298782348637,64.17066608331167,698.2592121515521,signal,2021-07-23,0.65
BANKNIFTY29JUL2134700CE,CE,2021-07-23 10:05:00,2021-07-23 10:06:00,347.3161372375488,353.2147560882569,1,1,117.9723770141618,60.10637120377273,57.86600581038906,signal,2021-07-23,0.65
BANKNIFTY29JUL2134700PE,PE,2021-07-23 11:54:00,2021-07-23 11:55:00,225.9133811187744,227.1307469558716,1,2,48.69463348388763,63.86258983664608,-15.167956352758452,signal,2021-07-23,0.65
BANKNIFTY29JUL2134700PE,PE,2021-07-23 12:53:00,2021-07-23 12:56:00,204.51,210.97125,3,2,258.4500000000003,62.544661465,195.90533853500028,signal,2021-07-23,0.65
BANKNIFTY29JUL2134700PE,PE,2021-07-23 13:00:00,2021-07-23 13:04:00,199.4975,198.2032469558716,4,1,-25.885060882567927,54.499493638655835,-80.38455452122376,signal,2021-07-23,0.65
BANKNIFTY29JUL2134700PE,PE,2021-07-23 13:05:00,2021-07-23 13:06:00,192.17924694061279,196.90649391174318,1,2,189.08987884521594,61.55406577520614,127.5358130700098,signal,2021-07-23,0.65
BANKNIFTY05AUG2134800PE,PE,2021-08-02 12:40:00,2021-08-02 13:10:00,209.1215061187744,222.34274391174318,30,1,330.53094482421983,57.20777238653611,273.32317243768375,time,2021-08-02,0.8
BANKNIFTY05AUG2134800PE,PE,2021-08-02 13:53:00,2021-08-02 13:59:00,224.6101280593872,234.76163108825685,6,1,253.78757572174138,57.825892996121155,195.96168272562022,signal,2021-08-02,0.8
BANKNIFTY26AUG2135100CE,CE,2021-08-20 10:58:00,2021-08-20 11:15:00,274.4844877624512,305.53423782348636,17,1,776.2437515258796,60.75222258661118,715.4915289392684,signal,2021-08-20,0.65
BANKNIFTY09SEP2136800CE,CE,2021-09-09 12:04:00,2021-09-09 12:08:00,56.390625,53.51587652206421,4,1,-71.86871194839472,49.70284167865259,-121.57155362704731,signal,2021-09-09,0.65
BANKNIFTY16SEP2136700CE,CE,2021-09-14 09:44:00,2021-09-14 09:46:00,221.0011219406128,214.9113719558716,2,1,-152.24374961852973,57.16630973180905,-209.41005935033877,signal,2021-09-14,0.7
BANKNIFTY16SEP2136700CE,CE,2021-09-14 13:03:00,2021-09-14 13:08:00,140.29987194061277,137.05649391174316,5,3,-243.25335216522106,66.23776309132403,-309.4911152565451,signal,2021-09-14,0.7
BANKNIFTY23SEP2137500CE,CE,2021-09-20 14:43:00,2021-09-20 15:13:00,221.3520030593872,197.60475608825683,30,1,-593.6811742782588,56.64555973799615,-650.3267340162549,signal,2021-09-20,0.75
BANKNIFTY23SEP2137500PE,PE,2021-09-20 09:29:00,2021-09-20 09:59:00,281.3516188812256,260.94600608825687,30,2,-1020.2806396484362,71.8063656150528,-1092.0870052634891,time,2021-09-20,0.75
BANKNIFTY23SEP2137500PE,PE,2021-09-20 10:06:00,2021-09-20 10:12:00,218.9961219406128,224.63699695587158,6,1,141.02187538146964,57.43087584962154,83.5909995318481,signal,2021-09-20,0.75
BANKNIFTY30SEP2138300CE,CE,2021-09-28 13:12:00,2021-09-28 13:15:00,91.72874999999999,95.3609984779358,3,3,272.41863584518524,60.171715304042195,212.24692054114303,signal,2021-09-28,0.8
BANKNIFTY30SEP2138300CE,CE,2021-09-28 13:42:00,2021-09-28 13:50:00,77.4932530593872,69.076875,8,3,-631.22835445404,57.11103795796976,-688.3393924120097,signal,2021-09-28,0.8
BANKNIFTY30SEP2138300CE,CE,2021-09-28 13:54:00,2021-09-28 14:00:00,61.3530007648468,61.79512576103211,6,3,33.159374713898515,55.69489397973697,-22.535519265838452,signal,2021-09-28,0.8
BANKNIFTY30SEP2138300CE,CE,2021-09-28 14:05:00,2021-09-28 14:11:00,54.7866265296936,56.159249238967895,6,3,102.9467031955722,54.87490843053723,48.071794765034966,signal,2021-09-28,0.8
BANKNIFTY07OCT2137700CE,CE,2021-10-06 12:35:00,2021-10-06 12:40:00,389.220625,386.7307621765137,5,1,-62.246570587157635,65.0027571545333,-127.24932774169093,signal,2021-10-06,0.65
BANKNIFTY07OCT2137700CE,CE,2021-10-06 12:47:00,2021-10-06 12:58:00,388.5690061187744,375.40913108825686,11,1,-328.99687576293815,64.64840930669442,-393.64528506963256,signal,2021-10-06,0.65
BANKNIFTY07OCT2137700CE,CE,2021-10-06 13:03:00,2021-10-06 13:06:00,342.4038627624511,345.38437500000003,3,1,74.51280593872269,63.018600016456986,11.494205922265706,signal,2021-10-06,0.65
BANKNIFTY07OCT2137700CE,CE,2021-10-06 13:46:00,2021-10-06 13:47:00,234.334375,239.89875,1,1,139.1093750000003,58.1330972209375,80.97627777906281,signal,2021-10-06,0.65
BANKNIFTY07OCT2137700PE,PE,2021-10-06 09:52:00,2021-10-06 10:09:00,114.6358734703064,90.77250000000001,17,1,-596.5843367576597,51.74013027330712,-648.3244670309668,signal,2021-10-06,0.65
BANKNIFTY07OCT2137700PE,PE,2021-10-06 10:24:00,2021-10-06 10:30:00,112.02937499999999,115.95937500000001,6,1,98.25000000000053,52.46544699625,45.784553003750524,signal,2021-10-06,0.65
BANKNIFTY07OCT2137700PE,PE,2021-10-06 10:31:00,2021-10-06 10:36:00,104.5607530593872,108.42824695587159,5,1,96.68734741210976,52.12048284920555,44.56686456290421,signal,2021-10-06,0.65
BANKNIFTY07OCT2137700PE,PE,2021-10-06 10:41:00,2021-10-06 10:47:00,101.4028765296936,101.94449695587159,6,1,13.540510654449633,51.87430742876268,-38.33379677431304,signal,2021-10-06,0.65
BANKNIFTY11NOV2139400CE,CE,2021-11-09 11:16:00,2021-11-09 11:30:00,309.6221311187744,358.2521189117432,14,2,2431.4993896484393,78.60150686932221,2352.897882779117,signal,2021-11-09,0.7
BANKNIFTY11NOV2139400PE,PE,2021-11-09 09:53:00,2021-11-09 10:23:00,293.6823872375488,284.536875,30,2,-457.2756118774407,73.62388409708603,-530.8994959745268,time,2021-11-09,0.7
BANKNIFTY11NOV2139400PE,PE,2021-11-09 10:25:00,2021-11-09 10:36:00,286.4142622375488,284.2875,11,2,-106.33811187744016,73.38297915833603,-179.72109103577617,signal,2021-11-09,0.7
BANKNIFTY18NOV2138600CE,CE,2021-11-16 11:01:00,2021-11-16 11:07:00,201.1015061187744,195.06112804412842,6,1,-151.00945186614965,56.2537419068892,-207.26319377303884,signal,2021-11-16,0.65
BANKNIFTY18NOV2138600CE,CE,2021-11-16 11:09:00,2021-11-16 11:11:00,185.4123719406128,191.12100608825685,2,1,142.71585369110156,55.89030005966215,86.8255536314394,signal,2021-11-16,0.65
BANKNIFTY18NOV2138600CE,CE,2021-11-16 14:11:00,2021-11-16 14:14:00,178.59536888122557,181.04625000000001,3,1,61.272027969361176,55.478117489165996,5.79391048019518,signal,2021-11-16,0.65
BANKNIFTY18NOV2138600CE,CE,2021-11-16 14:28:00,2021-11-16 14:34:00,127.066875,127.87949695587159,6,1,20.315548896789792,53.061397200507294,-32.7458483037175,signal,2021-11-16,0.65
BANKNIFTY18NOV2138600PE,PE,2021-11-16 10:10:00,2021-11-16 10:24:00,285.51198776245116,310.02298782348635,14,1,612.7750015258798,61.05995234723617,551.7150491786437,signal,2021-11-16,0.65
BANKNIFTY02DEC2135900PE,PE,2021-11-29 10:03:00,2021-11-29 10:18:00,382.5540061187744,442.89000000000004,15,1,1508.3998470306412,66.60672144302151,1441.7931255876197,signal,2021-11-29,0.65
BANKNIFTY02DEC2135900PE,PE,2021-11-29 11:13:00,2021-11-29 11:43:00,366.664375,300.995625,30,1,-1641.7187499999998,62.045735891875005,-1703.7644858918748,time,2021-11-29,0.65
BANKNIFTY02DEC2135900PE,PE,2021-11-29 11:44:00,2021-11-29 12:14:00,296.8903688812256,269.92350608825683,30,1,-674.1715698242189,60.0174482244014,-734.1890180486203,time,2021-11-29,0.65
BANKNIFTY02DEC2135900PE,PE,2021-11-29 12:26:00,2021-11-29 12:50:00,253.28161888122557,313.2840343941879,24,1,1500.060387824059,60.65858132415407,1439.401806499905,target,2021-11-29,0.65
BANKNIFTY30DEC2134300PE,PE,2021-12-27 11:37:00,2021-12-27 11:52:00,176.5402561187744,158.45288108825685,15,1,-452.1843757629391,54.75926253044441,-506.9436382933835,signal,2021-12-27,0.75
BANKNIFTY30DEC2134300PE,PE,2021-12-27 12:08:00,2021-12-27 12:38:00,162.405,132.81711891174317,30,1,-739.6970272064209,53.760306539452095,-793.457333745873,time,2021-12-27,0.75
BANKNIFTY30DEC2134300PE,PE,2021-12-27 12:39:00,2021-12-27 13:02:00,125.2122515296936,125.28599847793579,23,1,1.843673706054716,52.95374180085277,-51.11006809479805,signal,2021-12-27,0.75
BANKNIFTY30DEC2134300PE,PE,2021-12-27 13:48:00,2021-12-27 14:16:00,107.2173719406128,132.61716735334397,28,1,634.9948853182796,52.8971908423465,582.097694475933,target,2021-12-27,0.75
BANKNIFTY06JAN2235200PE,PE,2021-12-31 09:20:00,2021-12-31 09:50:00,328.46911888122554,252.3675,30,2,-3805.0809440612766,72.74813767083198,-3877.8290817321085,time,2021-12-31,0.65
